Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
ciptarapoto.com,0,0,0,2,0,0,0,0,0,1,1,0,0,1,0,1
m.tpsservices.runescape.com-gf.ru,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
157.240.194.35,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
s.id,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
metamask.atomicwallet.top,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
221.150.115.216,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
quaythuonggarena.com,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
4datasolution.com,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1
clearstageconsulting.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,1
alphabank2021.blogspot.com,0,0,0,2,0,0,1,0,1,1,1,0,0,1,0,1
whoisnooey.com,0,0,1,2,0,0,0,0,0,1,0,1,1,1,1,1
nizotchauffage.bilty.be,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
leki116.ru,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,1
linktr.ee,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
secure290.inmotionhosting.com,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1
arafathrumman.github.io,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
lnkd.in,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
dag-mot-lan.firebaseapp.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
xhlgt.mjt.lu,0,0,1,5,0,0,0,0,0,1,1,1,1,1,1,1
ezblox.site,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1
lapiraterieestla.wixsite.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
pichinchaonline.byethost6.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
linktr.ee,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
paws.org.au,0,0,1,9,0,0,0,0,0,1,1,1,1,1,1,1
s.id,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
fbcom-3ro3nng7.streamsteam.ca,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1
arnazn.cq.paiyzik.cn,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1
webdatamltrainingdiag842.blob.core.windows.net,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
bit.ly,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1
attvip.mx,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
contactmonkey.com,0,0,1,3,1,0,0,0,0,0,1,0,0,1,0,1
ov.kredit24.com,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
